Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-01-30 00:00:00+00:00,1379.56,1406.0,1326.41,1378.05,1040042.2363,2021-01-30 23:59:59.999000+00:00,1414231402.5438833,1013174,508185.46266,691043000.9994265,0
2021-01-31 00:00:00+00:00,1378.04,1380.74,1281.12,1312.55,958704.85571,2021-01-31 23:59:59.999000+00:00,1276842259.9713488,828176,448756.56134,597602925.7805631,0
2021-02-01 00:00:00+00:00,1312.45,1377.99,1269.99,1374.17,1096397.91862,2021-02-01 23:59:59.999000+00:00,1449463766.7237952,915584,550007.37258,727808340.6755197,0
2021-02-02 00:00:00+00:00,1374.09,1547.9,1360.28,1511.87,1944227.99878,2021-02-02 23:59:59.999000+00:00,2821617332.399785,1614541,986022.09176,1431300798.4302413,0
2021-02-03 00:00:00+00:00,1511.93,1669.35,1508.39,1664.49,1535869.88801,2021-02-03 23:59:59.999000+00:00,2418887041.587561,1384979,793334.97198,1249029451.1419609,0
2021-02-04 00:00:00+00:00,1664.67,1695.2,1554.44,1595.67,1646502.32962,2021-02-04 23:59:59.999000+00:00,2693099602.275608,1507993,825236.64834,1350478681.245404,0
2021-02-05 00:00:00+00:00,1595.53,1760.49,1591.0,1719.19,1194123.29946,2021-02-05 23:59:59.999000+00:00,2011685911.1668868,1326415,600948.63761,1012301493.0861533,0
2021-02-06 00:00:00+00:00,1718.95,1743.67,1642.94,1676.35,1149808.33101,2021-02-06 23:59:59.999000+00:00,1940057857.9438982,1152167,565703.52545,954941828.40178,0
2021-02-07 00:00:00+00:00,1676.35,1693.0,1490.46,1611.62,1281734.86814,2021-02-07 23:59:59.999000+00:00,2044371589.0232766,1263737,618789.69751,987284129.7353907,0
2021-02-08 00:00:00+00:00,1611.46,1775.57,1563.89,1750.15,1339777.09536,2021-02-08 23:59:59.999000+00:00,2255426926.0199776,1372788,677614.29512,1141288384.5474298,0
2021-02-09 00:00:00+00:00,1749.68,1821.88,1708.49,1769.13,1185071.89593,2021-02-09 23:59:59.999000+00:00,2080818891.698905,1173421,593423.36868,1042666171.1807507,0
2021-02-10 00:00:00+00:00,1769.14,1837.86,1680.0,1740.78,1219932.25474,2021-02-10 23:59:59.999000+00:00,2149076144.4076576,1279140,605462.91818,1067949000.5237135,0
2021-02-11 00:00:00+00:00,1740.76,1819.0,1703.44,1785.62,735079.82699,2021-02-11 23:59:59.999000+00:00,1301681871.563269,935602,367056.14118,650153645.4431872,0
2021-02-12 00:00:00+00:00,1785.83,1864.88,1739.88,1840.26,909600.20653,2021-02-12 23:59:59.999000+00:00,1635426867.774093,996495,460779.83709,829217927.344209,0
2021-02-13 00:00:00+00:00,1840.24,1871.72,1765.0,1814.96,767589.07285,2021-02-13 23:59:59.999000+00:00,1395594093.2839975,853189,372008.25141,676531918.543253,0
2021-02-14 00:00:00+00:00,1815.25,1850.0,1784.11,1800.42,675261.77873,2021-02-14 23:59:59.999000+00:00,1230043295.0342839,714827,334005.33344,608556979.1025332,0
2021-02-15 00:00:00+00:00,1800.03,1835.72,1655.67,1779.25,1053474.57879,2021-02-15 23:59:59.999000+00:00,1860338371.897408,1086589,511771.37271,904087834.7542372,0
